common_name,sci_name,sci_name_cite,distribution,distribution_cite,tree_rad_low,tree_rad_low_cite,tree_rad_high,tree_rad_high_cite,density,density_cite,janka_hardness,janka_hardness_cite,rupture_modulus,rupture_modulus_cite,elastic_modulus,elastic_modulus_cite,crushing_strength,crushing_strength_cite,shrink_rad,shrink_rad_cite,shrink_tan,shrink_tan_cite,shrink_volumetric,shrink_volumetric_cite,rot_resistance,rot_resistance_cite,workability,workability_cite,common_uses,common_uses_cite,primary_sources,primary_sources_cite,archaeological_sources,archaeological_sources_cite,shapefile,shapefile_cite,secondary_sources,secondary_sources_cite,notes,notes_cite,tree_height_low,tree_height_low_cite,tree_height_high,tree_height_high_cite,image,image_cite
" tiete rosewood, patagonian cherry, sirari",guibourtia hymenaeifolia (syn.g. chodatiana),1,south america,1,1,1,2,1,945,1,12410,1,109.2,1,14,1,0,1,4,1,7,1,9.7,1," no specific data is available on the decay resistance of tiete rosewood, but tests have shown that untreated wood used in exterior applications has a tendency to warp and check.",1,"tiete rosewood is hard and dense, making it more difficult to work than lighter woods, but its straight and uniform grain give it a reasonable workability. also, wood species in the guibourtia genus tend to contain silica that can prematurely dull cutters.",1," interior flooring, turned objects, and other small specialty wood items.",1,,,,,,,,,,,40,1,50,1,,
"sweet cherry, wild cherry, european cherry",prunus avium,1,europe and asia,1,0.3,1,0.6,1,600,1,5120,1,103.3,1,10.55,1,50,1,5.1,1,8.4,1,13.8,1,heartwood is rated as being moderately durable to non-durable regarding decay resistance. sweet cherry is also susceptible to insect attack.,1,"sweet cherry is easy to work with both machine and hand tools. the only difficulties typically arise if the wood is being stained, as it can sometimes give blotchy results due to its fine, close grain. a sanding sealer or gel stain is recommended. glues, turns, and finishes well.",1," veneer, furniture, cabinetry, turned objects, musical instruments, and carvings.",1,,,,,,,,,,,10,1,20,1,,
american chestnut,castanea dentata,1,eastern united states,1,1.5,1,2,1,480,1,2400,1,59.3,1,8.48,1,36.7,1,3.4,1,6.7,1,11.6,1," rated as very durable, though many trees killed by the chestnut blight of the early 1900s were left standing and eventually were damaged by insects.",1,"overall easy to work with both hand and machine tools. chestnut splits easily, so care must be taken in nailing and screwing the wood. due to its coarsetexture, turning is mediocre. glues, stains, and finishes well.",1," flooring, rustic furniture, shingles, and reclaimed lumber.",1,,,,,,,,,,,30,1,37,1,,
horse chestnut,aesculus hippocastanum,1,eastern europe,1,0.6,1,1,1,500,1,3630,1,67.5,1,7.15,1,37.7,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,20,1,30,1,,
" sweet chestnut, spanish chestnut, european chestnut",castanea sativa,1,europe and asia minor,1,1.5,1,2,1,590,1,3010,1,71.4,1,8.61,1,43.8,1,4.2,1,6.9,1,12.6,1," rated as durable to very durable, thoughsusceptibleto insect attack.",1,"overall easy to work with both hand and machine tools. chestnut splits easily, so care must be taken in nailing and screwing the wood. due to its coarsetexture, turning is mediocre. glues, stains, and finishes well.",1," furniture, veneer, and carvings.",1,"Strab. 12.3.12, probably",,,,,,,,,,30,1,37,1,,
" chico zapote, zapote,sapodilla",manilkara zapota,1,southern mexico and central america,1,0.6,1,1,1,1040,1,13210,1,184.2,1,20.41,1,85.8,1,6.2,1,9.2,1,16,1,reported to have outstandingdurabilityandinsectresistance. (intact chico zapote beams have been found amidthe ruins of mayan temples.),1,"checking is common with this species, and even turning blanks are sometimes sold dry instead of green. can be difficult to work on account of its density, butgenerallyproduces good results. moderate blunting effect on cutters. turns and finishes well.",1," cabinetry, furniture, archery bows, flooring, turned objects, and other smallspecialtywood items.",1,,,,,,,,,,,20,1,30,1,,
chinaberry,melia azedarach,1," southern asia, australia and oceania",1,0.3,1,0.6,1,610,1,4400,1,97.2,1,8.97,1,55.9,1,5,1,8.5,1,13.6,1," there are many conflicting reports on chinaberry's durability. the heartwood is generally considered at least moderately durable, and somewhat resistant to insect attack.",1,"due to it's moderate density and generally straight grain, chinaberry is quite easy to work it cuts, planes, sands, and glues well. perhaps the only difficulty is in its large pores, which tend to give a very open and grainy finished appearance, which may need to be filled, particularly if a smooth glossy surface is desired. (though if left as-is, it serves well inapplicationswhere a rustic look is desired.)",1," veneer, carvings, furniture, and turned objects.",1,,,,,,,,,,,9,1,15,1,,
"giant chinkapin,chinquapin",chrysolepis chrysophylla (formerlycastanopsischrysophylla),1,pacific coast region of the united states,1,1,1,1.2,1,515,1,3250,1,73.8,1,8.55,1,28.6,1,4.6,1,7.4,1,13.2,1,rated as non-durable to perishable; poor insect resistance.,1,"overall working characteristics are good for both hand and machine tools, though drying defects are common if lumber is not carefully dried. glues, stains, and finishes well.",1,"furniture, veneer, and small specialty wood objects.",1,,,,,,,,,,,20,1,30,1,,
" cocobolo, cocobola, cocabola",dalbergia retusa,1,central america,1,0.5,1,0.6,1,1095,1,14140,1,158,1,18.7,1,81.3,1,2.7,1,4.3,1,7,1,"rated as very durable, and also resistant to insect attack.its natural oils are reported to give it good resistance to degrade from wet/dry cycles.",1,"due to the high oil content found in this wood, it can occasionally cause problems with gluing. also, the wood's color can bleed into surrounding wood when applying a finish, so care must be taken on the initial seal coats not to smear the wood's color/oils into surrounding areas.tearout can occur during planing if interlocked grain is present; the wood also has a moderate blunting effect on cutting edges/tools due to its high density. cocobolo has excellent turning properties.",1," fine furniture, musical instruments, turnings, and other small specialty objects.",1,,,,,,,,,,,14,1,18,1,,
"cocuswood, jamaican ebony",brya ebenus,1,the caribbean (primarily jamaica and cuba),1,0.08,1,0.15,1,1160,1,16550,1,0,1,0,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,9,1,15,1,,
"kentucky coffeetree, coffeetree"," gymnocladus spp.,gymnocladus dioicus",1,eastern north america,1,0.6,1,1,1,675,1,6180,1,72.4,1,9.79,1,45.5,1,4.1,1,7.6,1,11.9,1," reports range from moderately durable to very durable regarding decay resistance, and is reported to fare well in direct ground contact. reports are mixed on resistance to insect attack.",1,"coffeetree has good working characteristics, and nearly every machining operation can be done with good and expected results. glues, stains, and finishes well.",1," furniture,cabinetry, fence posts, and utility wood.",1,,,,,,,,,,,20,1,30,1,,
"coolibah, coolibah burl","eucalyptus coolabah, eucalyptus microtheca",1,australia,1,0.6,1,1,1,1085,1,16590,1,0,1,0,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,8,1,15,1,,
black cottonwood,populus trichocarpa,1,northwestern north america,1,1.5,1,2,1,385,1,1560,1,58.6,1,8.76,1,31,1,3.6,1,8.6,1,12.4,1,"rated as non-durable, and alsosusceptibleto insect attack.",1,"easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface).responds poorly to steam bending. does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.",1," boxes/crates, veneer, plywood, and various utility purposes.",1,,,,,,,,,,,25,1,45,1,,
eastern cottonwood,populus deltoides,1,central and eastern united states,1,1.2,1,2,1,450,1,1910,1,58.6,1,9.45,1,33.9,1,3.9,1,9.2,1,13.9,1," rated as non-durable, and alsosusceptibleto insect attack.",1,"easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface).responds poorly to steam bending. does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.",1,"boxes/crates, veneer, plywood, and various utility purposes.",1,,,,,,,,,,,30,1,50,1,,
" cucumbertree, cucumber magnolia",magnoliaacuminata,1,eastern united states,1,0.6,1,1,1,530,1,3110,1,84.8,1,12.55,1,43.5,1,5.2,1,8.8,1,13.6,1," rated as non-durable to perishable regarding decay resistance, and alsosusceptibleto insect attack.",1,"generally easy to work with both hand and machine tools. turns, glues, stains, and finishes well.",1," veneer, plywood, interior trim,upholstered furniture frames, and general utility wood.",1,,,,,,,,,,,15,1,24,1,,
" cumaru, brazilian teak",dipteryx odorata,1,northern south america,1,1,1,1.5,1,1085,1,14800,1,175.1,1,22.33,1,95.5,1,5.3,1,7.7,1,12.6,1," cumaru has excellent durability and weathering properties. the wood is rated as very durable regarding decay resistance, though it may be susceptible to some insect attacks.",1,"tends to be difficult to work on account of its density and interlocked grain. if the grain is not too interlocked, cumaru can be surface-planed to a smooth finish. however, the wood contains silica and will have a moderate blunting effect on tool cutters. due to its high oil content and density, cumaru can present difficulties in gluing, and pre-boring is necessary when screwing or nailing the wood.",1," flooring, cabinetry, furniture, heavy construction, docks, railroad ties, bearings, handles, and other turned objects.",1,,,,,,,,,,,40,1,50,1,,
" cebil, curupay",anadenanthera colubrina (syn.anadenanthera macrocarpa),1," argentina, brazil, and paraguay",1,0.6,1,1,1,1025,1,16150,1,193.2,1,18.04,1,94.4,1,4.6,1,7.6,1,12,1," rated as verydurable. resistant to termites, though more susceptible to other insect attacks.",1,generally hard to work with on account of its irregular grain and high density. cebil also has a pronounced blunting effect on cutters. turns well.,1," flooring, exterior construction, furniture, and turned objects.",1,,,,,,,,,,,20,1,25,1,,
" cypress, baldcypress",taxodium distichum,1,southeastern united states,1,1,1,1.5,1,515,1,2270,1,73.1,1,9.93,1,43.9,1,3.8,1,6.2,1,10.5,1," old-growth cypress is rated as being durable to very durable in regards to decay resistance, while wood from younger trees is only rated as moderately durable.",1,"sharp cutters and light passes are recommended when working with cypress to avoid tearout. also, the wood has been reported by some sources to have a moderate dulling effect on cutting edges. cypress has good gluing, nailing, finishing, and paint-holding properties.",1," exterior construction, docks, boatbuilding, interior trim, and veneer.",1,,,,,,,,,,,24,1,37,1,,
" australian cypress,white cypress pine"," callitris glaucophylla (syn. c. glauca, c. columellaris)",1,australia,1,0.5,1,0.6,1,650,1,6060,1,79.6,1,9.32,1,51.5,1,3.7,1,4.9,1,8.7,1," reported to be very durable regarding decay resistance, and is also resistant to insect attack.",1,"generally easy to work, though frequent small knots can sometimes cause tearout or other machining difficulties. glues and finishes well.",1," veneer, plywood, flooring, furniture, and other light construction purposes.",1,,,,,,,,,,,20,1,30,1,,
" cypress, baldcypress",taxodium distichum,1,southeastern united states,1,1,1,1.5,1,515,1,2270,1,73.1,1,9.93,1,43.9,1,3.8,1,6.2,1,10.5,1," old-growth cypress is rated as being durable to very durable in regards to decay resistance, while wood from younger trees is only rated as moderately durable.",1,"sharp cutters and light passes are recommended when working with cypress to avoid tearout. also, the wood has been reported by some sources to have a moderate dulling effect on cutting edges. cypress has good gluing, nailing, finishing, and paint-holding properties.",1," exterior construction, docks, boatbuilding, interior trim, and veneer.",1,,,,,,,,,,,24,1,37,1,,
gowen cypress,cupressusgoveniana,1,endemic to coastal california,1,0.3,1,0.6,1,480,1,2520,1,56.9,1,4.5,1,25.4,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,9,1,16,1,,
leyland cypress,cupressusx leylandii,1,"originated as a hybrid in wales, uk; no natural range",1,0.6,1,1,1,500,1,1890,1,82.7,1,6.82,1,38,1,2.8,1,6.7,1,9.6,1,rated as moderately durable; mixed resistance to insect attack.,1,"overall easy to work with hand and machine tools, though areas around knots can be problematic. reportedly difficult to steam bend. glues, stains, and finishes well.",1,"utility lumber, fence posts, musical instruments (flamenco guitars), furniture, boatbuilding, and turned objects.",1,,,,,,,,,,,20,1,30,1,,
"mediterranean cypress, italian cypress",cupressus sempervirens,1,eastern mediterranean region,1,0.6,1,1,1,535,1,2490,1,44.6,1,5.28,1,0,1,0,1,0,1,0,1,,1,,1,,1,Vitr. 2.9.12; Theophr. Hist. Pl. 5.42; Plin. HN 16.212,,"Building: Temple of Artemis at Ephesus, Type: Door, Location: Ephesus, Notes: noted in Plin. HN. 16.215; Building: Old. St. Peter's (no longer there), Type: Door, Location: Rome; Building: Santa Sabina, Type: Door, Location: Rome.",2,,,"Ulrich: Durable and resistant to decay, commonly used for doors. Thought to not be used for structural purposes in pre-Christian Rome (Meiggs 1982, 242). ; ",,,,20,1,30,1,,
"mexican cypress, cedar of goa",cupressuslusitanica,1,mexico and central america; also cultivated worldwide,1,0.6,1,1,1,470,1,2240,1,76.4,1,8.72,1,39,1,2.8,1,5.9,1,8.1,1,conflicting reports on durability from non-durable tomoderatelydurable; mixed resistance to insect attack.,1,"overall easy to work with hand and machine tools, though areas around knots can be problematic. reportedly difficult to steam bend. glues, stains, and finishes well.",1," construction lumber, poles/posts, musical instruments (flamenco guitars), and turned objects.",1,,,,,,,,,,,20,1,30,1,,
monterey cypress,cupressusmacrocarpa,1,endemic to central coast of california; cultivated throughout north america and europe,1,0.6,1,1,1,515,1,2750,1,81.2,1,7.81,1,39.4,1,3.5,1,6.3,1,8.5,1,rated as moderately durable; mixed resistance to insect attack.,1,"overall easy to work with hand and machine tools, though areas around knots can be problematic. reportedly difficult to steam bend. glues, stains, and finishes well.",1," utility lumber, fence posts, musical instruments (flamenco guitars), furniture, boatbuilding, and turned objects.",1,,,,,,,,,,,15,1,25,1,,
"lemonwood, degame",calycophyllum candidissimum,1,cuba and central america,1,0.3,1,0.6,1,810,1,8350,1,152.4,1,15.75,1,67.5,1,4.8,1,8.6,1,13.2,1,mixed reports depending on type of decay fungi; usually rated as moderately durable. excellent resistance to marine borers.,1,"overall working properties are fair, though dry wood is reported to have a high cutting resistance. lemonwood turns, glues, and finishes well.",1," archery bows, carvings, turned objects, and fishing rods.",1,,,,,,,,,,,12,1,24,1,,
"deglupta, kamarere,mindanao gum",eucalyptus deglupta,1,southeast asia (also grown on plantations throughout tropics),1,1.2,1,1.8,1,500,1,2880,1,79.6,1,10.79,1,46.7,1,3.8,1,8.5,1,15.5,1,rated as non-durable; poor insect resistance.,1,"generally easy to work with hand or machine tools, though tearout is common on quartersawn surfaces due to the strongly interlocked grain. glues and finishes well.",1,"paper (pulpwood), veneer, furniture, and millwork.",1,,,,,,,,,,,30,1,60,1,,
" dogwood, flowering dogwood",cornus florida,1,eastern north america,1,0.3,1,0.4,1,815,1,9560,1,115.3,1,13.26,1,60.3,1,7.1,1,11.3,1,19.9,1," since there tends to be very little heartwood, dogwood is usually composed entirely of sapwood, which is considered non-durable to perishable. alsosusceptibleto insect attack.",1,"despite it's high density and interlocked grain, dogwood tends to produce decent results with both hand and machine tools, though it can have a blunting effect on cutters. glues, turns, and finishes well.",1," golf club heads, textile shuttles, bows (archery), mallets, pulleys, and turned objects.",1,,,,,,,,,,,9,1,12,1,,
douglas-fir,pseudotsuga menziesii,1,western north america,1,1.5,1,2,1,510,1,2760,1,86.2,1,12.17,1,47.9,1,4.5,1,7.3,1,11.6,1," douglas-fir heartwood is rated to be moderately durable in regard to decay, but is susceptible to insect attack.",1,"typically machines well, but has a moderate blunting effect on cutters. accepts stains, glues, and finishes well.",1," veneer, plywood, and structural/construction lumber.",1,,,,,,,,,,,60,1,75,1,,
" afzelia, doussie",afzelia spp.,1,africa and southeast asia,1,1,1,1.5,1,805,1,8050,1,122.3,1,14.44,1,74.1,1,2.3,1,3.9,1,6.3,1," rated as very durable. moderately resistant to termites, and variously resistant/susceptible to other insect attacks.",1,"generally considered somewhat difficult to work on account of its interlocked grain, causing tearout during machining operations. afzelia also has a pronounced dulling effect on cutters. gluing and finishing can be variable, and some species contain water-soluble yellow deposits in the pores which can pose challenges in staining or finishing with water-based products.",1," furniture,cabinetry, veneer, flooring, docks, boatbuilding, exterior millwork and construction, turned objects, inlays, and other small specialty wood items.",1,,,,,,,,,,,25,1,37,1,,
"ebiara, berlinia, poculi, red zebrawood","berlinia spp. (b. auriculata, b.bracteosa, b.confusa, and b. grandiflora)",1,west africa,1,1,1,1.5,1,725,1,5690,1,109.6,1,11.14,1,55.4,1,4.7,1,8.7,1,13.2,1,"varies with species, but is generally rated as moderately durable; good insect resistance, though sapwood is vulnerable to ambrosia and powder post beetles.",1,"generally easy to work with hand or machine tools, though planing or surfacing interlocked grain may result in tearout, particularly on quartersawn surfaces. glues, turns, and finishes well.",1,"veneer, furniture, cabinetry, turned objects, and other small speciality wood items.",1,,,,,,,,,,,30,1,40,1,,
" gaboon ebony, african ebony, nigerian ebony, cameroon ebony",diospyros crassiflora,1,equatorial west africa,1,0.6,1,1,1,955,1,13700,1,158.1,1,16.89,1,76.3,1,8.3,1,11.2,1,19.6,1," ebony is rated as being very durable, with good resistance to termites and other insects.",1,"can be difficult to work due to its extremely high density. has a dulling effect on cutters. tearout may occur on pieces that have interlocked or irregular grain. due to the high oil content found in this wood, it can occasionally cause problems with gluing.finishes well, and polishes to a high luster. responds well to steam bending.",1," small/ornamental items, such as piano keys, musical instrument parts, pool cues, carvings, and other small specialty items.",1,,,,,,,,,,,15,1,18,1,,
" black and white ebony, pale moon ebony"," diospyros malabarica (syn. diospyros embryopteris, d. peregrina)",1,laos and southeast asia,1,0.3,1,1,1,825,1,7920,1,0,1,0,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,15,1,35,1,,
" brown ebony, guayacan"," caesalpinia spp. (c. granadillo, c. paraguariensis, c.pluviosa)",1,semi-arid regions of south america,1,0.6,1,1,1,1160,1,15970,1,158,1,18.7,1,81.3,1,4.5,1,7.7,1,12.7,1," rated as very durable, thoughsusceptibleto insect attack.",1,"generally difficult to work on account of its highdensityand irregular grain. brown ebony is well suited to lathe work, and turns and finishes well.",1,primarily for turned objects; also used for heavy constructionwithinits natural range.,1,,,,,,,,,,,10,1,15,1,,
" ceylon ebony, east indian ebony",diospyros ebenum,1,southeast asia,1,0.3,1,0.6,1,915,1,10790,1,128.6,1,14.07,1,63.5,1,5.4,1,8.8,1,14.3,1,portions of black heartwood are very durable regarding decay resistance.,1,"overall difficult to work on account of its density and strong blunting effect on cutting edges. can be difficult to dry, with checks or other drying defects developing. can be difficult to glue. ebony turns superbly, and takes a very high natural polish.",1," inlay, carving, musical instrument parts (piano keys, bridges, nuts, etc.), and turnedobjects.",1,,,,,,,,,,,15,1,25,1,,
" ceylon ebony, east indian ebony",diospyros ebenum,1,southeast asia,1,0.3,1,0.6,1,915,1,10790,1,128.6,1,14.07,1,63.5,1,5.4,1,8.8,1,14.3,1,portions of black heartwood are very durable regarding decay resistance.,1,"overall difficult to work on account of its density and strong blunting effect on cutting edges. can be difficult to dry, with checks or other drying defects developing. can be difficult to glue. ebony turns superbly, and takes a very high natural polish.",1," inlay, carving, musical instrument parts (piano keys, bridges, nuts, etc.), and turnedobjects.",1,,,,,,,,,,,15,1,25,1,,
" gaboon ebony, african ebony, nigerian ebony, cameroon ebony",diospyros crassiflora,1,equatorial west africa,1,0.6,1,1,1,955,1,13700,1,158.1,1,16.89,1,76.3,1,8.3,1,11.2,1,19.6,1," ebony is rated as being very durable, with good resistance to termites and other insects.",1,"can be difficult to work due to its extremely high density. has a dulling effect on cutters. tearout may occur on pieces that have interlocked or irregular grain. due to the high oil content found in this wood, it can occasionally cause problems with gluing.finishes well, and polishes to a high luster. responds well to steam bending.",1," small/ornamental items, such as piano keys, musical instrument parts, pool cues, carvings, and other small specialty items.",1,,,,,,,,,,,15,1,18,1,,
" macassar ebony, striped ebony",diospyros celebica,1,southeast asia,1,0.4,1,0,1,1120,1,14140,1,157.2,1,17.35,1,80.2,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,15,1,20,1,,
" black and white ebony, pale moon ebony"," diospyros malabarica (syn. diospyros embryopteris, d. peregrina)",1,laos and southeast asia,1,0.3,1,1,1,825,1,7920,1,0,1,0,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,15,1,35,1,,
texas ebony,ebenopsis ebano,1,southern texas and eastern mexico,1,0.3,1,0.6,1,965,1,12560,1,152.3,1,16.54,1,74.1,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,6,1,9,1,,
" persimmon, white ebony",diospyros virginiana,1,eastern united states,1,0.3,1,0.6,1,835,1,10230,1,122.1,1,13.86,1,63.2,1,7.9,1,11.2,1,19.1,1," being that nearly all of persimmon is sapwood, it is rated as perishable and issusceptibleto insect attack.",1,"overall workability is so-so. persimmon generally responds well to hand tools, but can be difficult to plane and blunts cutting edges faster than expected. turns and finishes well.",1," turned objects, golf club heads, veneer, and other small specialty wood items.",1,,,,,,,,,,,18,1,24,1,,
" ekki, azobe",lophira alata,1,west africa,1,1.5,1,1.8,1,1065,1,14330,1,195.8,1,18.99,1,95.8,1,8,1,11.1,1,18.3,1," rated as very durable, with good resistance to insect attacks. good weathering characteristics.",1,"difficult to work on account of its density and interlocked grain, which can cause tearout. ekki also has a pronounced blunting effect on cutting edges. gluing can also pose problems due to its density and oil content.",1," bridges, boatbuilding, marine applications, decking, and flooring.",1,,,,,,,,,,,30,1,46,1,,
" american elm, soft elm, water elm",ulmus americana,1,eastern to midwest united states,1,0.6,1,1,1,560,1,3690,1,81.4,1,9.24,1,38.1,1,4.2,1,9.5,1,14.6,1,rated as non-durable; susceptible to insect attack. living trees are susceptible to dutch elm disease.,1,"can be a challenge to work because of interlocked grain, especially on quartersawn surfaces. planing can cause tearout and/or fuzzy surfaces. poor dimensional stability. glues, stains, and finishes well. responds well to steam bending, and holds nails and screws well.",1," boxes, baskets, furniture, hockey sticks, veneer, wood pulp, and papermaking.",1,,,,,,,,,,,20,1,30,1,,
cedar elm,ulmus crassifolia,1,south-central north america,1,1,1,1.5,1,655,1,5870,1,93.1,1,10.21,1,41.5,1,4.7,1,10.2,1,15.4,1,rated as non-durable; susceptible to insect attack. living trees are susceptible to dutch elm disease.,1,"can be a challenge to work because of interlocked grain, especially on quartersawn surfaces. planing can cause tearout and/or fuzzy surfaces. poor dimensional stability. glues, stains, and finishes well. responds well to steam bending, and holds nails and screws well.",1," boxes, baskets, furniture, hockey sticks, veneer, wood pulp, and papermaking.",1,,,,,,,,,,,20,1,30,1,,
dutch elm," ulmus hollandica (dutch elm is a european elm hybrid, coming from u. glabra x u. minor and/or a variety of other species)",1,europe,1,1,1,1.5,1,575,1,3790,1,68.7,1,7.52,1,32,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,25,1,35,1,,
" english elm, carpathian elm",,1,western europe,1,1,1,2,1,565,1,3620,1,65,1,7.12,1,32.7,1,5,1,7,1,0,1,rated as non-durable; susceptible to insect attack. living trees are susceptible to dutch elm disease.,1,"can be a challenge to work because of interlocked grain, especially on quartersawn surfaces. planing can cause tearout and/or fuzzy surfaces. poor dimensional stability. glues, stains, and finishes well. responds well to steam bending, and holds nails and screws well.",1," boxes, baskets, furniture, hockey sticks, veneer, archery bows, and paper (pulpwood).",1,,,,,,,,,,,25,1,35,1,,
" red elm, slippery elm, soft elm",ulmus rubra,1,eastern to midwest united states,1,0.6,1,1,1,600,1,3830,1,89.7,1,10.28,1,43.9,1,4.9,1,8.9,1,13.8,1,rated as non-durable; susceptible to insect attack. living trees are susceptible to dutch elm disease.,1,"can be a challenge to work because of interlocked grain, especially on quartersawn surfaces. planing can cause tearout and/or fuzzy surfaces. poor dimensional stability. glues, stains, and finishes well. responds well to steam bending, and holds nails and screws well.",1," boxes, baskets, furniture, hockey sticks, veneer, wood pulp, and papermaking.",1,,,,,,,,,,,15,1,24,1,,
" rock elm, cork elm",ulmus thomasii,1,midwestern united states,1,0.6,1,1.2,1,755,1,5870,1,102.1,1,10.62,1,48.6,1,4.8,1,8.1,1,14.9,1,rated as non-durable; susceptible to insect attack. living trees are susceptible to dutch elm disease.,1,"can be a challenge to work because of interlocked grain, especially on quartersawn surfaces. planing can cause tearout and/or fuzzy surfaces. poor dimensional stability. glues, stains, and finishes well. responds well to steam bending, and holds nails and screws well.",1," boxes, baskets, furniture, hockey sticks, veneer, wood pulp, and papermaking.",1,,,,,,,,,,,20,1,30,1,,
" winged elm, wahoo",ulmus alata,1,southern and south-central united states,1,0.3,1,0.6,1,675,1,6850,1,102.1,1,11.38,1,46.8,1,5.3,1,11.6,1,17.7,1,rated as non-durable; susceptible to insect attack. living trees are susceptible to dutch elm disease.,1,"can be a challenge to work because of interlocked grain, especially on quartersawn surfaces. planing can cause tearout and/or fuzzy surfaces. poor dimensional stability. glues, stains, and finishes well. responds well to steam bending, and holds nails and screws well.",1," boxes, baskets, furniture, hockey sticks, veneer, wood pulp, and papermaking.",1,,,,,,,,,,,11,1,15,1,,
" wych elm, scots elm",ulmus glabra,1,europe,1,0.6,1,1.2,1,605,1,4400,1,98.2,1,11.14,1,46.3,1,0,1,12.4,1,0,1,,1,,1,,1,,,,,,,,,,,20,1,30,1,,
"etimoe, african etimoe",copaifera spp. (c. mildbraediiand c.salikounda),1,west and central africa,1,1,1,1.5,1,755,1,7380,1,142.4,1,13.75,1,69.1,1,5,1,8.2,1,13.5,1,rated as durable to moderately durable. moderate insect resistance.,1,"generally easy to work with hand or machine tools, though resin present in the wood has a tendency to clog and gum up tools. turns, glues, and finishes well.",1," veneer, plywood, furniture, flooring, and turned objects.",1,,,,,,,,,,,30,1,50,1,,
balsam fir,abies balsamea,1,northeastern north america,1,0.3,1,0.6,1,400,1,1780,1,60.7,1,9.57,1,34.5,1,2.9,1,6.9,1,11.2,1," rated as non-durable to perishable regarding decay resistance, with little resistance to insect attacks.",1,"generally easy to work with both hand andmachinetools. glues, stains, and finishes well.",1," construction lumber, paper (pulpwood), plywood, and other utility wood purposes.",1,,,,,,,,,,,12,1,20,1,,
california red fir,abies magnifica,1," primarily sierra nevada mountain range in california, but also in southwest oregon",1,1,1,1.5,1,435,1,2220,1,71.5,1,10.23,1,37.3,1,4.5,1,7.9,1,11.4,1," rated as non-durable to perishable regarding decay resistance, with little resistance to insect attacks.",1,"generally easy to work with both hand andmachinetools, though some drying defects may be present or occur while drying the wood. glues, stains, and finishes well.",1," construction lumber, paper (pulpwood), plywood, and other utility wood purposes.",1,,,,,,,,,,,30,1,45,1,,
douglas-fir,pseudotsuga menziesii,1,western north america,1,1.5,1,2,1,510,1,2760,1,86.2,1,12.17,1,47.9,1,4.5,1,7.3,1,11.6,1," douglas-fir heartwood is rated to be moderately durable in regard to decay, but is susceptible to insect attack.",1,"typically machines well, but has a moderate blunting effect on cutters. accepts stains, glues, and finishes well.",1," veneer, plywood, and structural/construction lumber.",1,,,,,,,,,,,60,1,75,1,,
european silver fir,abies alba,1,mountainous regions of europe,1,1,1,1.5,1,415,1,1420,1,66.1,1,8.28,1,41,1,4,1,8.7,1,12.8,1," rated as non-durable to perishable regarding decay resistance, with little resistance to insect attacks.",1,"generally easy to work with both hand andmachinetools. glues, stains, and finishes well.",1," construction lumber, paper (pulpwood), plywood, and other utility wood purposes.",1,Diod. 14.42.3-4; Vit. 2.9.10; Hist.Pl. 5.1.5; Livy 28.45.18; Theo. 5.6.1;,,"60% of nearly 200 samples from Pompeii and Herculaneum was silver fir. (Fioravanti and Caramiello 1999, 85)",3;4,,,"Ulrich: Tallest and straightest native, Italian species, relatively knot-free. During Roman republic, fir logs were easily transported from Etruria and Umbria by the Tiber River. Excellent for roof frames, rafters, basilicas, temples, imperial audience halls.;",,,,30,1,46,1,,
grand fir,abies grandis,1,northwestern united states and southern british columbia,1,1,1,1.2,1,450,1,2180,1,60.3,1,10.55,1,35.9,1,3.4,1,7.5,1,11,1," rated as non-durable to perishable regarding decay resistance, with little resistance to insect attacks.",1,"generally easy to work with both hand andmachinetools, though some drying defects may be present or occur while drying the wood. glues, stains, and finishes well.",1," construction lumber, paper (pulpwood), plywood, and other utility wood purposes.",1,,,,,,,,,,,30,1,60,1,,
noble fir,abies procera,1,pacific northwest region of the united states,1,1,1,1.5,1,415,1,1820,1,74.4,1,11.17,1,39.5,1,4.3,1,8.3,1,12.4,1," rated as non-durable to perishable regarding decay resistance, with little resistance to insect attacks.",1,"generally easy to work with both hand andmachinetools, though some drying defects may be present or occur while drying the wood. glues, stains, and finishes well.",1," construction lumber, paper (pulpwood), plywood, and other utility wood purposes.",1,,,,,,,,,,,30,1,55,1,,
