Common Name(s),Scientific Name,Distribution,Tree Size,Average Dried Weight,Janka Hardness,Modulus of Rupture,Elastic Modulus,Crushing Strength,Shrinkage,Rot Resistance,Workability,Common Uses
"australian red cedar, toona",toona ciliata (syn. cedrela toona),southern asia and australia,"100-130 ft (30-40 m) tall, 3-5 ft (1-1.5 m) trunk diameter",30 lbs/ft3 (485 kg/m3),"700 lbf (3,130 n)","10,370 lbf/in2 (71.5 mpa)","1,336,000 lbf/in2 (9.22 gpa)","5,240 lbf/in2 (36.1 mpa)"," radial 3.8%, tangential 6.3%, volumetric 10.8%, t/r ratio 1.7", rated as moderately durable; moderate to poor insect resistance., easy to work with both hand and machine tools. some difficulty can be encountered when surfacing quartersawn surfaces with interlocked grain. can also exude resin and gum up cutters. glues and finishes well.," furniture, cabinetry, veneer, musical instruments (guitar tops), and boatbuilding."
 cedar of lebanon, cedrus libani, mountainous areas of themediterraneanregion," 100-130 ft (30-40 m) tall, 5-7 ft (1.5-2.1 m) trunk diameter", 32lbs/ft3 (520 kg/m3)," 820 lbf (3,670 n)"," 11,890 lbf/in2 (82.0 mpa)"," 1,465,000 lbf/in2 (10.10 gpa)"," 6,090 lbf/in2 (42.0 mpa)"," radial 4.1%, tangential 6.0%, volumetric 10.4%, t/r ratio 1.5"," rated as very durable, and generally resistant to insect attack."," easy to work with hand and machine tools, though knots and bark inclusions can cause difficulties in machining. turns, glues, and finishes well."," veneer,cabinetry, building construction, and turned objects."
" aromatic red cedar, eastern redcedar", juniperus virginiana, eastern north america," 100-115 ft (30-35 m) tall, 3-4 ft (1-1.2 m) trunk diameter",  33 lbs/ft3 (530 kg/m3)," 900 lbf (4,000 n)"," 8,800 lbf/in2 (60.7 mpa)"," 880,000 lbf/in2 (6.07 gpa)"," 6,020 lbf/in2 (41.5 mpa)"," radial 3.1%, tangential 4.7%, volumetric 7.8%, t/r ratio 1.5"," regarded as excellent in resistance to both decay and insect attack, aromatic red cedar is frequently used for fence posts used in direct ground contact with no pre-treating of the wood."," overall, aromatic red cedar is easy to work, notwithstanding any knots or irregularities present in the wood. it reportedly has a high silica content, which can dull cutters. aromatic red cedar glues and finishes well, though in many applications, the wood is left unfinished to preserve its aromatic properties."," fence posts, closet and chest linings, carvings, outdoor furniture, birdhouses, pencils, bows, and small wooden specialty items."
" incense cedar, california white cedar", calocedrus decurrens (syn.libocedrus decurrens), western north america (primarily california)," 65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 24 lbs/ft3 (385 kg/m3)," 470 lbf (2,090 n)"," 8,000 lbf/in2 (55.2 mpa)"," 1,040,000 lbf/in2 (7.17 gpa)"," 5,200 lbf/in2 (35.9 mpa)"," radial 3.3%, tangential 5.2%, volumetric 7.7%, t/r ratio 1.6"," despite the commonness of pockets of fungal decay (sometimes referred to as ;pecky cedar), dried wood is rated as durable to very durable in regards to decay resistance, and the wood is sometimes used for fence posts on account of its good weatheringcharacteristics."," easy to work with both hand and machine tools. holds paint very well. stains, glues, and finishes well. excellent dimensional stability."," pencils,venetianblinds, fence posts, construction lumber, sheathing, siding, chests, and various exterior furniture applications."
" northern white cedar, eastern arborvitae", thuja occidentalis, northeastern north america," 50-65 ft (15-20 m) tall, 1.3-2 ft (.4-.6 m) trunk diameter",  22 lbs/ft3 (350 kg/m3)," 320 lbf (1,420 n)"," 6,500 lbf/in2 (44.8 mpa)"," 800,000 lbf/in2 (5.52 gpa)"," 3,960 lbf/in2 (27.3 mpa)"," radial 2.2%, tangential 4.9%, volumetric 7.2%, t/r ratio 2.2", rated as durable to very durable regarding decay resistance; also resistant to termites and powder post beetles.," northern white cedar has good overall working characteristics, and works easily with both hand and machine tools. however, the wood is both soft and weak, giving it poor screw-holding capabilities. northern white cedar glues and finishes well."," fences, posts, shingles, piles, canoes, outdoor furniture, railroad ties, and paper (pulpwood)."
" port orford cedar, lawson's cypress", chamaecyparis lawsoniana, pacific northwest united states," 150-200 ft (45-60 m) tall, 4-6 ft (1.2-1.8 m) trunk diameter", 29 lbs/ft3 (465 kg/m3)," 590 lbf (2,620 n)"," 12,290 lbf/in2 (84.8 mpa)"," 1,646,000 lbf/in2 (11.35 gpa)"," 6,080 lbf/in2 (41.9 mpa)"," radial 4.6%, tangential 6.9%, volumetric 10.1%, t/r ratio 1.5"," reported to be durable to very durable regarding decay resistance, and alsoresistantto most insect attacks. (also reported to have good resistance to acid corrosionport orford cedar was used for storage battery separators during and prior to world war ii.)"," easy to work with both hand and machine tools. holds paint well. stains, glues, and finishes well."," arrow shafts, musical instruments (soundboards on guitars), boatbuilding, boxes and chests, decking, and various interior millwork applications."
 southern redcedar, juniperus silicicola (juniperus viriginiana var. silicicola), southeastern united states," 50 ft (15 m) tall, 2 ft (.6 m) trunk diameter",  32 lbs/ft3 (505 kg/m3)," 610 lbf (2,710 n)"," 9,400 lbf/in2 (64.8 mpa)"," 1,170,000 lbf/in2 (8.07 gpa)"," 6,570 lbf/in2 (45.3 mpa)"," radial 2.2%, tangential 4.0%, volumetric 7.0%, t/r ratio 1.8", no data available., no data available., no data available.
" spanish cedar, cedro", cedrela odorata, native to central and south america and the caribbean; <br />also grown on plantations," 65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter",29lbs/ft3 (470 kg/m3)," 600 lbf (2,670 n)"," 10,260 lbf/in2 (70.8 mpa)"," 1,323,000 lbf/in2 (9.12 gpa)","5,860 lbf/in2 (40.4 mpa)"," radial 4.1%, tangential 6.2%, volumetric 10.2%, t/r ratio 1.5"," spanish cedar ranges from durable to moderately durable regarding decay resistance, and is also resistant to termite attack; the wood is also reported to have excellent weathering characteristics. older, slower-growing trees from the wild tend to produce wood that is more durable than wood from younger, plantation-grown trees."," spanish cedar is easy to work with both hand and machine tools. however, due to its low density and softness, spanish cedar tends to leave fuzzy surfaces if not machined with sharp cutters; extra sanding up to finer grits may be required to obtain a smooth wood surface. also, natural gum pockets can remain wet and may ooze out onto the surrounding surface, which can clog and gum up saw blades, and make finishing the wood a challenge."," veneer, plywood, cabinetry, musical instruments, (flamenco and classical guitars), humidors, and boatbuilding."
" western redcedar, western red cedar", thuja plicata, pacific northwest united states/canada," 165-200 ft (50-60 m) tall, 7-13 ft (2-4 m) trunk diameter",  23 lbs/ft3 (370 kg/m3)," 350 lbf (1,560 n)"," 7,500 lbf/in2 (51.7 mpa)","  1,110,000 lbf/in2 (7.66 gpa)"," 4,560 lbf/in2 (31.4 mpa)"," radial 2.4%, tangential 5.0%, volumetric 6.8%, t/r ratio 2.1"," western redcedar has been rated as durable to very durable in regard to decay resistance, though ithas a mixed resistance to insect attack."," easy to work with both hand or machine tools, though it dents and scratches very easily due to its softness, and can sand unevenly due to the difference in density between the earlywood and latewood zones. glues and finishes well. iron-based fasteners can stain and discolor the wood, especially in the presence of moisture."," shingles, exterior siding and lumber, boatbuilding, boxes, crates, and musical instruments."
" redheart, chakte kok", erythroxylum spp. and simira spp., southern mexico to southern brazil and paraguay," 50-65ft (15-20 m) tall, 1-1.5 ft (.3-.5 m) trunk diameter", 40 lbs/ft3 (640 kg/m3)," 1,210 lbf (5,380 n)"," 14,320lbf/in2 (98.7 mpa)","  1,497,000 lbf/in2 (10.32 gpa)","6,690 lbf/in2 (46.2 mpa)"," radial 2.8%, tangential 8.2%, volumetric 10.6%, t/r ratio 2.9", laboratory tests have shown redheart to be moderately durable to attack by decay fungi.," redheart has good working characteristics, and planes,machines, and sands well. turns, glues, and finishes well, though a brown color shift is to be expected.","turned objects, inlays, veneer, fine furniture, and small specialty wood items."
" chakte viga, paela, aripin", caesalpinia platyloba, tropical areas of mexico and central america," 20-30 ft (6-9 m) tall, 1-2 ft (.3-.6 m) trunk diameter",58 lbs/ft3 (935 kg/m3)," 2,250 lbf (10,010 n)", no data available,"2,574,000 lbf/in2 (17.76 gpa)", no data available,"radial 2.8%, tangential 8.2%, volumetric 10.6%, t/r ratio 2.9"," chakte viga has been used as afence-postmaterial, with reports stating that the wood lasts up to 100 years in the ground."," despite its high density, chakte viga generally responds well to mostmachiningoperations, though interlocked grain can result in tearout. turns, glues, and finishes well."," inlays, furniture, flooring,and turned objects."
" chechen, chechem, black poisonwood, caribbean rosewood", metopium brownei," dominican republic, cuba, jamaica, guatemala, belize, and southeastern mexico"," 50-115 ft (15-35 m) tall, 3-5 ft (1-1.5 m) trunk diameter",62lbs/ft3 (990 kg/m3)," 2,250 lbf (10,010 n)", no data available, no data available, no data available," radial 4.1%, tangential 6.7%, volumetric 10.8%, t/r ratio 1.6"," rated as being very durable, and moderately resistant to most insect attacks.","fairly easy to work, but tearout may occur when machining pieces with interlocked grain. glues and finishes well, though because of its density and tendency to split, nails and screws should be pre-bored."," veneer, furniture, cabinetry, flooring, turned objects, and small specialty wood items."
" black cherry, cherry, american cherry", prunus serotina, eastern north america," 50-100 ft (15-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  35 lbs/ft3 (560 kg/m3)," 950 lbf (4,230 n)"," 12,300 lbf/in2 (84.8 mpa)","  1,490,000 lbf/in2 (10.30 gpa)"," 7,110 lbf/in2 (49.0 mpa)","radial 3.7%, tangential 7.1%, volumetric 11.5%, t/r ratio 1.9", heartwood is rated as being very durable and resistant to decay.," cherry is known as being one of the best all-around woods for workability. it is stable, straight-grained, and machines well. the only difficulties typically arise if the wood is being stained, as it can sometimes give blotchy resultsusing a sanding sealer prior to staining, or using a gel-based stain is recommended. sapwood is common, and may contribute to a high wastage factor."," cabinetry, fine furniture, flooring, interior millwork, veneer, turned objects, and small specialty wood items."
 makore," tieghemella heckelii, t. africana", western and middle africa (from sierra leone to gabon)," 180-200 ft (55-60 m) tall, 4-6 ft (1.2-1.8 m) trunk diameter",  43 lbs/ft3 (685 kg/m3)," 1,200 lbf (5,350 n)"," 16,330 lbf/in2 (112.6 mpa)","  1,552,000 lbf/in2 (10.71 gpa)"," 8,290 lbf/in2 (57.2 mpa)"," radial 5.5%, tangential 7.7%, volumetric 12.4%, t/r ratio 1.4"," heartwood is very durable, and is also resistant to insect attack."," generally easy to work, though sections with interlocked grain can cause tearout during planing or other machining operations. makore will react when put into direct contact with iron, becoming discolored and stained. makore also has a pronounced blunting effect on cutters due to its high silica content. besides this dulling effect, makore turns well, and is easy to glue and finish."," veneer, plywood, furniture, cabinetry, flooring, boatbuilding, musical instruments, turned objects, and other small wooden specialty items."
" jatoba, brazilian cherry", hymenaea courbaril," central america, southern mexico, northern south america, and the west indies"," 100-130 ft (30-40 m) tall, 2-4 ft (.6-1.2 m) trunk diameter",57lbs/ft3 (910 kg/m3)," 2,690 lbf (11,950 n)"," 22,510 lbf/in2 (155.2 mpa)","  2,745,000 lbf/in2 (18.93 gpa)"," 11,780 lbf/in2 (81.2 mpa)"," radial 4.2%, tangential 8.0%, volumetric 12.1%, t/r ratio 1.9"," jatoba is rated as being very durable in regards to rot resistance, and is also resistant to termites and most other insects. (though it has been reported to be susceptible to attack from marine borers.)"," jatoba is considered difficult to work with on account of its density and hardness, and has a moderate blunting effect on tool cutters. jatoba also tends to be difficult to plane without tearout due to its interlocking grain. however, jatoba glues, stains, turns, and finishes well.responds well to steam-bending."," flooring, furniture, cabinetry, tool handles, shipbuilding, railroad ties, turned objects, and other small specialty items."
" tiete rosewood, patagonian cherry, sirari", guibourtia hymenaeifolia (syn.g. chodatiana), south america," 130-165 ft (40-50 m) tall,3-6 ft (1-2 m) trunk diameter", 59 lbs/ft3 (945 kg/m3)," 2,790 lbf (12,410 n)"," 15,830 lbf/in2 (109.2 mpa)"," 2,030,000 lbf/in2 (14.00 gpa)", no data available," radial 4.0%, tangential 7.0%, volumetric 9.7%, t/r ratio 1.8"," no specific data is available on the decay resistance of tiete rosewood, but tests have shown that untreated wood used in exterior applications has a tendency to warp and check."," tiete rosewood is hard and dense, making it more difficult to work than lighter woods, but its straight and uniform grain give it a reasonable workability. also, wood species in the guibourtia genus tend to contain silica that can prematurely dull cutters."," interior flooring, turned objects, and other small specialty wood items."
"sweet cherry, wild cherry, european cherry", prunus avium, europe and asia," 32-65 ft (10-20 m) tall, 1-2 ft (.3-.6 m) trunk diameter",  39 lbs/ft3 (600 kg/m3)," 1,150 lbf (5,120 n)"," 14,980 lbf/in2 (103.3 mpa)","  1,529,000 lbf/in2 (10.55 gpa)"," 7,250 lbf/in2 (50.0 mpa)","radial 5.1%, tangential 8.4%, volumetric 13.8%, t/r ratio 1.6", heartwood is rated as being moderately durable to non-durable regarding decay resistance. sweet cherry is also susceptible to insect attack.,"sweet cherry is easy to work with both machine and hand tools. the only difficulties typically arise if the wood is being stained, as it can sometimes give blotchy results due to its fine, close grain. a sanding sealer or gel stain is recommended. glues, turns, and finishes well."," veneer, furniture, cabinetry, turned objects, musical instruments, and carvings."
 american chestnut, castanea dentata, eastern united states," 100-120 ft (30-37 m) tall, 5-7 ft (1.5-2.0 m) trunk diameter*", 30 lbs/ft3 (480 kg/m3)," 540 lbf (2,400 n)"," 8,600 lbf/in2 (59.3 mpa)"," 1,230,000 lbf/in2 (8.48 gpa)"," 5,320 lbf/in2 (36.7 mpa)"," radial 3.4%, tangential 6.7%, volumetric 11.6%, t/r ratio 2.0"," rated as very durable, though many trees killed by the chestnut blight of the early 1900s were left standing and eventually were damaged by insects."," overall easy to work with both hand and machine tools. chestnut splits easily, so care must be taken in nailing and screwing the wood. due to its coarsetexture, turning is mediocre. glues, stains, and finishes well."," flooring, rustic furniture, shingles, and reclaimed lumber."
 horse chestnut, aesculus hippocastanum, eastern europe," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 31 lbs/ft3 (500 kg/m3)," 820 lbf (3,630 n)"," 9,790 lbf/in2 (67.5 mpa)"," 1,036,000 lbf/in2 (7.15 gpa)"," 5,460 lbf/in2 (37.7 mpa)","no data available, values most likely very similar to buckeye"," horse chestnut has poor decay resistance, and is rated as non-durable to perishable."," horse chestnut is generally easy to work, but it's low density and interlocked grain can lead to fuzzy surfaces, similar to aspen or cottonwood. glues and finishes well."," veneer, furniture, plywood, interior trim, and turned objects."
" sweet chestnut, spanish chestnut, european chestnut", castanea sativa, europe and asia minor," 100-120 ft (30-37 m) tall, 5-7 ft (1.5-2.0 m) trunk diameter", 37 lbs/ft3 (590 kg/m3)," 680 lbf (3,010 n)"," 10,360 lbf/in2 (71.4 mpa)"," 1,248,000 lbf/in2 (8.61 gpa)"," 6,360 lbf/in2 (43.8 mpa)"," radial 4.2%, tangential 6.9%, volumetric 12.6%, t/r ratio 1.6"," rated as durable to very durable, thoughsusceptibleto insect attack.","overall easy to work with both hand and machine tools. chestnut splits easily, so care must be taken in nailing and screwing the wood. due to its coarsetexture, turning is mediocre. glues, stains, and finishes well."," furniture, veneer, and carvings."
,,,,,,,,,,,,
" chico zapote, zapote,sapodilla",manilkara zapota, southern mexico and central america," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1 m) trunk diameter"," 65 lbs/ft3 (1,040 kg/m3)"," 2,970 lbf (13,210 n)","26,710 lbf/in2(184.2 mpa)","2,960,000 lbf/in2(20.41 gpa)","12,440 lbf/in2(85.8 mpa)"," radial 6.2%, tangential 9.2%, volumetric 16.0%, t/r ratio 1.5", reported to have outstandingdurabilityandinsectresistance. (intact chico zapote beams have been found amidthe ruins of mayan temples.)," checking is common with this species, and even turning blanks are sometimes sold dry instead of green. can be difficult to work on account of its density, butgenerallyproduces good results. moderate blunting effect on cutters. turns and finishes well."," cabinetry, furniture, archery bows, flooring, turned objects, and other smallspecialtywood items."
 chinaberry, melia azedarach," southern asia, australia and oceania"," 30-50 ft (9-15 m) tall, 1-2 ft (.3-.6 m) trunk diameter", 38 lbs/ft3 (610 kg/m3)," 990 lbf (4,40 n)"," 14,100 lbf/in2 (97.2 mpa)"," 1,300,000 lbf/in2 (8.97 mpa)"," 8,100 lbf/in2 (55.9 mpa)"," radial 5.0%, tangential 8.5%, volumetric 13.6%, t/r ratio 1.7"," there are many conflicting reports on chinaberry's durability. the heartwood is generally considered at least moderately durable, and somewhat resistant to insect attack."," due to it's moderate density and generally straight grain, chinaberry is quite easy to work it cuts, planes, sands, and glues well. perhaps the only difficulty is in its large pores, which tend to give a very open and grainy finished appearance, which may need to be filled, particularly if a smooth glossy surface is desired. (though if left as-is, it serves well inapplicationswhere a rustic look is desired.)"," veneer, carvings, furniture, and turned objects."
"giant chinkapin,chinquapin",chrysolepis chrysophylla (formerlycastanopsischrysophylla),pacific coast region of the united states,"65-100 ft (20-30 m) tall, 3-4 ft (1-1.2 m) trunk diameter",37 lbs/ft3 (515 kg/m3),"730 lbf (3,250 n)","10,700 lbf/in2 (73.8 mpa)","1,240,000 lbf/in2 (8.55 gpa)","4,150 lbf/in2 (28.6 mpa)"," radial 4.6%, tangential 7.4%, volumetric 13.2%, t/r ratio 1.6",rated as non-durable to perishable; poor insect resistance.,"overall working characteristics are good for both hand and machine tools, though drying defects are common if lumber is not carefully dried. glues, stains, and finishes well.","furniture, veneer, and small specialty wood objects."
" cocobolo, cocobola, cocabola", dalbergia retusa, central america," 45-60 ft (14-18 m) tall, 1.5-2 ft (50-60 cm) trunk diameter"," 69 lbs/ft3 (1,095 kg/m3)","2,960 lbf (14,140 n)","22,910 lbf/in2(158.0 mpa)*","2,712,000 lbf/in2(18.70 gpa)*","11,790 lbf/in2(81.3 mpa)*","radial 2.7%, tangential 4.3%, volumetric 7.0%, t/r ratio 1.6","rated as very durable, and also resistant to insect attack.its natural oils are reported to give it good resistance to degrade from wet/dry cycles."," due to the high oil content found in this wood, it can occasionally cause problems with <gluing. also, the woods color can bleed into surrounding wood when applying a finish, so care must be taken on the initial seal coats not to smear the woods color/oils into surrounding areas.tearout can occur during planing if interlocked grain is present; the wood also has a moderate blunting effect on cutting edges/tools due to its high density. cocobolo has excellent turning properties."," fine furniture, musical instruments, turnings, and other small specialty objects."
"cocuswood, jamaican ebony",brya ebenus,the caribbean (primarily jamaica and cuba),"30-50 ft (9-15 m) tall, 3-6 in (8-15 cm) trunk diameter","72 lbs/ft3 (1,160 kg/m3)","3,720 lbf (16,550 n)",no data available,no data available,no data available,no data available, rated as durable to very durable.," despite its high density, cocuswood is easy to work."," turned objects, woodwinds (flutes, oboes, bagpipes, etc.), carvings, inlays, and other small specialty items."
"kentucky coffeetree, coffeetree"," gymnocladus spp.,gymnocladus dioicus", eastern north america," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1 m) trunk diameter", 42 lbs/ft3 (675 kg/m3)," 1,390 lbf (6,180 n)"," 10,500 lbf/in2 (72.4 mpa)"," 1,420,000 lbf/in2 (9.79 gpa)"," 6,600 lbf/in2 (45.5 mpa)"," radial 4.1%, tangential 7.6%, volumetric 11.9%, t/r ratio 1.9"," reports range from moderately durable to very durable regarding decay resistance, and is reported to fare well in direct ground contact. reports are mixed on resistance to insect attack."," coffeetree has good working characteristics, and nearly every machining operation can be done with good and expected results. glues, stains, and finishes well."," furniture,cabinetry, fence posts, and utility wood."
"coolibah, coolibah burl","eucalyptus coolabah, eucalyptus microtheca",australia,"25-50 ft (8-15 m) tall, 2-3 ft (.6-1 m) trunk diameter","68 lbs/ft3 (1,085 kg/m3)","3,730 lbf (16,590 n)",no data available,no data available,no data available, no data available, no data available., no data available.," turned objects, knife and gun grips, inlay, and other small specialty items."
 black cottonwood, populus trichocarpa, northwestern north america," 80-150 ft (25-45 m) tall, 5-6 ft (1.5-2.0 m) trunk diameter", 24 lbs/ft3 (385 kg/m3)," 350 lbf (1,560 n)"," 8,500 lbf/in2 (58.6 mpa)"," 1,270,000 lbf/in2 (8.76 gpa)"," 4,500 lbf/in2 (31.0 mpa)"," radial 3.6%, tangential 8.6%, volumetric 12.4%, t/r ratio 2.4","rated as non-durable, and alsosusceptibleto insect attack.","easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface).responds poorly to steam bending. does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well."," boxes/crates, veneer, plywood, and various utility purposes."
 eastern cottonwood, populus deltoides, central and eastern united states," 100-165 ft (30-50 m) tall, 4-6 ft (1.2-2.0 m) trunk diameter", 28 lbs/ft3 (450 kg/m3)," 430 lbf (1,910 n)"," 8,500 lbf/in2 (58.6 mpa)"," 1,370,000 lbf/in2 (9.45 gpa)"," 4,910 lbf/in2 (33.9 mpa)"," radial 3.9 %, tangential 9.2%, volumetric 13.9%, t/r ratio 2.4"," rated as non-durable, and alsosusceptibleto insect attack.","easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface).responds poorly to steam bending. does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.","boxes/crates, veneer, plywood, and various utility purposes."
" cucumbertree, cucumber magnolia", magnoliaacuminata, eastern united states," 50-80 ft (15-24 m) tall, 2-3 ft (.6-1 m) trunk diameter", 33 lbs/ft3 (530 kg/m3)," 700 lbf (3,110n)"," 12,300 lbf/in2 (84.8 mpa)"," 1,820,000 lbf/in2 (12.55 gpa)"," 6,310 lbf/in2 (43.5 mpa)"," radial 5.2%, tangential 8.8%, volumetric 13.6%, t/r ratio 1.7"," rated as non-durable to perishable regarding decay resistance, and alsosusceptibleto insect attack."," generally easy to work with both hand and machine tools. turns, glues, stains, and finishes well."," veneer, plywood, interior trim,upholstered furniture frames, and general utility wood."
" cumaru, brazilian teak", dipteryx odorata, northern south america," 130-160 ft (40-50 m) tall, 3-5 ft (1-1.5 m) trunk diameter","  68 lbs/ft3 (1,085 kg/m3)"," 3,330 lbf (14,800 n)"," 25,390 lbf/in2 (175.1 mpa)"," 3,237,000 lbf/in2 (22.33 gpa)"," 13,850 lbf/in2 (95.5 mpa)"," radial 5.3%, tangential 7.7%, volumetric 12.6%, t/r ratio 1.5"," cumaru has excellent durability and weathering properties. the wood is rated as very durable regarding decay resistance, though it may be susceptible to some insect attacks."," tends to be difficult to work on account of its density and interlocked grain. if the grain is not too interlocked, cumaru can be surface-planed to a smooth finish. however, the wood contains silica and will have a moderate blunting effect on tool cutters. due to its high oil content and density, cumaru can present difficulties in gluing, and pre-boring is necessary when screwing or nailing the wood."," flooring, cabinetry, furniture, heavy construction, docks, railroad ties, bearings, handles, and other turned objects."
" cebil, curupay", anadenanthera colubrina (syn.anadenanthera macrocarpa)," argentina, brazil, and paraguay"," 65-80 ft (20-25 m) tall, 2-3 ft (.6-1.0 m) trunk diameter"," 64 lbs/ft3 (1,025 kg/m3)"," 3,630 lbf (16,150 n)"," 28,010 lbf/in2 (193.2 mpa)"," 2,617,000 lbf/in2 (18.04 gpa)"," 13,700 lbf/in2 (94.4 mpa)"," radial 4.6%, tangential 7.6%, volumetric 12.0%, t/r ratio 1.7"," rated as verydurable. resistant to termites, though more susceptible to other insect attacks.", generally hard to work with on account of its irregular grain and high density. cebil also has a pronounced blunting effect on cutters. turns well.," flooring, exterior construction, furniture, and turned objects."
" cypress, baldcypress", taxodium distichum, southeastern united states,"80-120 ft (24-37 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  32 lbs/ft3 (515 kg/m3)," 510 lbf (2,270 n)"," 10,600 lbf/in2 (73.1 mpa)"," 1,440,000 lbf/in2 (9.93 gpa)"," 6,360 lbf/in2 (43.9 mpa)"," radial 3.8%, tangential 6.2%, volumetric 10.5%, t/r ratio 1.6"," old-growth cypress is rated as being durable to very durable in regards to decay resistance, while wood from younger trees is only rated as moderately durable.","sharp cutters and light passes are recommended when working with cypress to avoid tearout. also, the wood has been reported by some sources to have a moderate dulling effect on cutting edges. cypress has good gluing, nailing, finishing, and paint-holding properties."," exterior construction, docks, boatbuilding, interior trim, and veneer."
" australian cypress,white cypress pine"," callitris glaucophylla (syn. c. glauca, c. columellaris)", australia," 65-100 ft (20-30 m) tall, 1.5-2 ft (.5-.6 m) trunk diameter", 41 lbs/ft3 (650 kg/m3)," 1,360 lbf (6,060 n)"," 11,550 lbf/in2 (79.6 mpa)"," 1,351,000 lbf/in2 (9.32 gpa)"," 7,460 lbf/in2 (51.5 mpa)"," radial 3.7%, tangential 4.9%, volumetric 8.7%, t/r ratio 1.3"," reported to be very durable regarding decay resistance, and is also resistant to insect attack."," generally easy to work, though frequent small knots can sometimes cause tearout or other machining difficulties. glues and finishes well."," veneer, plywood, flooring, furniture, and other light construction purposes."
" cypress, baldcypress", taxodium distichum, southeastern united states,"80-120 ft (24-37 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  32 lbs/ft3 (515 kg/m3)," 510 lbf (2,270 n)"," 10,600 lbf/in2 (73.1 mpa)"," 1,440,000 lbf/in2 (9.93 gpa)"," 6,360 lbf/in2 (43.9 mpa)"," radial 3.8%, tangential 6.2%, volumetric 10.5%, t/r ratio 1.6"," old-growth cypress is rated as being durable to very durable in regards to decay resistance, while wood from younger trees is only rated as moderately durable.","sharp cutters and light passes are recommended when working with cypress to avoid tearout. also, the wood has been reported by some sources to have a moderate dulling effect on cutting edges. cypress has good gluing, nailing, finishing, and paint-holding properties."," exterior construction, docks, boatbuilding, interior trim, and veneer."
gowen cypress,cupressusgoveniana,endemic to coastal california,"30-50 ft (9-16 m) tall, 1-2 ft (.3-.6 m) trunk diameter",30 lbs/ft3 (480 kg/m3),"570 lbf (2,520 n)","8,250 lbf/in2 (56.9 mpa)","653,000 lbf/in2 (4.50 gpa)","3,680 lbf/in2 (25.4 mpa)", no data available; most likely very similar to monterey cypress,rated as moderately durable; mixed resistance to insect attack.," overall easy to work with hand and machine tools, though areas around knots can be problematic. reportedly difficult to steam bend. glues, stains, and finishes well.","not generally used for lumber; other closely-related cypresses have been used for utility lumber, fence posts, musical instruments (flamenco guitars), furniture, boatbuilding, and turned objects."
leyland cypress,cupressusx leylandii,"originated as a hybrid in wales, uk; no natural range","65-100 ft (20-30 m) tall, 2-3 ft (.6-1 m) trunk diameter",31 lbs/ft3 (500 kg/m3),"430 lbf (1,890 n)","12,000 lbf/in2 (82.7 mpa)","989,000 lbf/in2 (6.82 gpa)","5,510 lbf/in2 (38.0 mpa)"," radial 2.8%, tangential 6.7%, volumetric 9.6%, t/r ratio 2.4",rated as moderately durable; mixed resistance to insect attack.," overall easy to work with hand and machine tools, though areas around knots can be problematic. reportedly difficult to steam bend. glues, stains, and finishes well.","utility lumber, fence posts, musical instruments (flamenco guitars), furniture, boatbuilding, and turned objects."
"mediterranean cypress, italian cypress",cupressussempervirens,eastern mediterranean region,"65-100 ft (20-30 m) tall, 2-3 ft (.6-1 m) trunk diameter",33 lbs/ft3 (535 kg/m3),"560 lbf (2,490 n)","6,460 lbf/in2 (44.6 mpa)","766,000 lbf/in2 (5.28 gpa)",no data available, no data available,rated as durable; mixed resistance to insect attack.," overall easy to work with hand and machine tools, though areas around knots can be problematic. reportedly difficult to steam bend. glues, stains, and finishes well.","utility lumber, fence posts, musical instruments (flamenco guitars), furniture, boatbuilding, and turned objects."
"mexican cypress, cedar of goa",cupressuslusitanica,mexico and central america; also cultivated worldwide,"65-100 ft (20-30 m) tall, 2-3 ft (.6-1 m) trunk diameter",29 lbs/ft3 (470 kg/m3),"500 lbf (2,240 n)","11,080 lbf/in2 (76.4 mpa)","1,264,000 lbf/in2 (8.72 gpa)","5,650 lbf/in2 (39.0 mpa)"," radial 2.8%, tangential 5.9%, volumetric 8.1%, t/r ratio 2.1",conflicting reports on durability from non-durable tomoderatelydurable; mixed resistance to insect attack.," overall easy to work with hand and machine tools, though areas around knots can be problematic. reportedly difficult to steam bend. glues, stains, and finishes well."," construction lumber, poles/posts, musical instruments (flamenco guitars), and turned objects."
